dnid,dnname,dnlatitude,dnlongitude,dnradius
4885041028,경상남도 하동군 옥종면 법대리,35.17793964,127.8988956,1.33
4885041029,경상남도 하동군 옥종면 대곡리,35.16868965,127.9090169,1.866
4885041030,경상남도 하동군 옥종면 북방리,35.15881283,127.9246703,1.832
4885041031,경상남도 하동군 옥종면 정수리,35.15739731,127.8770487,2.007
4885041032,경상남도 하동군 옥종면 양구리,35.16929131,127.8762151,1.446
4885041033,경상남도 하동군 옥종면 궁항리,35.20662238,127.8048121,2.447
4885041034,경상남도 하동군 옥종면 위태리,35.20475288,127.8359362,3.02
4885041035,경상남도 하동군 옥종면 회신리,35.17985562,127.8241977,2.297
4885042000,경상남도 하동군 금성면,34.96463129,127.7978618,3.741
4885042021,경상남도 하동군 금성면 가덕리,34.95907118,127.8134965,2.419
4885042022,경상남도 하동군 금성면 궁항리,34.97803185,127.7912623,2.05
